latitude,longitude,api
3360281.3932320597,-10939672.377535185,42013349330000
3355323.771660165,-10962389.234701876,42013349400000
3354723.7058176817,-10965044.983793732,42013349430000
3355090.7060042825,-10963705.698999997,42013349450000
3350622.713886334,-10957300.932097208,42013349480000
3333682.5559013486,-10992351.209607359,42013349490000
3331368.5687846243,-10967078.790890526,42013349540000
3369190.8257427914,-10941891.75422313,42013349560000
3333680.779660315,-10992260.818180835,42013349590000
3358172.6133495714,-10958559.7328991,42013349600000
3350258.632332587,-10962530.610455185,42013349630000
3350258.632332587,-10962518.58795018,42013349640000
3356702.0437793094,-10929714.069847291,42013349670000
3359960.395609539,-10956656.169606533,42013349680000
3356062.6449034717,-10930447.442652637,42013349690000
3349092.901907616,-10936266.1124364,42013349700000
3349100.650240056,-10936256.872918665,42013349710000
3349108.779642898,-10936247.63340093,42013349720000
3359960.395609539,-10956644.147101527,42013349730000
3361228.794881731,-10950480.275576813,42013349740000
3361219.259502339,-10950472.81717093,42013349750000
3345248.1287578647,-10964045.4460859,42013349840000
3345260.31931886,-10964045.223446917,42013349850000
3350258.632332587,-10962506.2314867,42013349930000
3350258.632332587,-10962494.097662205,42013349940000
3360233.3384379363,-10954267.698612073,42013349950000
3355787.6277470556,-10954867.93330643,42013349960000
3348271.858403153,-10942304.526894992,42013349970000
3345261.081229294,-10964992.774952551,42013350030000
3345222.2238529813,-10961883.398935713,42013350040000
3348563.9936685283,-10941057.303320143,42013350090000
3334774.7353270045,-10981222.934071228,42013350220000
3334784.632344544,-10981215.586984836,42013350230000
3347609.3702997933,-10959930.966386689,42013350300000
3347608.608254334,-10959918.832562193,42013350310000
3333836.8360280436,-10992505.943699561,42013350340000
3333834.171635665,-10992494.36647252,42013350350000
3354636.532062566,-10965180.459614027,42013350380000
3354648.477120399,-10965183.242601298,42013350390000
3368211.3050552234,-10943846.969759423,42013350400000
3347609.624314957,-10959691.295523012,42013350530000
3347598.066629977,-10959688.512535742,42013350550000
3333845.8442157633,-10992541.565936616,42013350560000
3333843.0529456753,-10992529.988709575,42013350570000
3333840.1348003033,-10992517.743565585,42013350580000
3334274.5648841606,-10993619.027288005,42013350590000
3334275.1992842667,-10993606.782144018,42013350600000
3334275.4530443186,-10993594.64831952,42013350610000
3334701.396118995,-10996080.189909954,42013350830000
3334698.224017052,-10996068.167404946,42013350840000
3334704.568221694,-10996091.989775976,42013350850000
3345161.5253035384,-10956374.753933806,42013350860000
3345162.66816069,-10956362.731428802,42013350870000
3362383.0080742366,-10947838.441421308,42013350880000
3364069.500366358,-10942839.751006726,42013350900000
3363912.7058606707,-10937654.934403539,42013350940000
3358241.633729391,-10941811.60418976,42013350950000
3342570.921353453,-10975228.602130992,42013350960000
3342577.904117712,-10970405.796511864,42013350970000
3342561.1454896643,-10975221.143725108,42013350980000
3354717.3520260286,-10966629.505425684,42013351000000
3354716.9707986247,-10966641.750569671,42013351010000
3357401.3383066314,-10928537.088871133,42013351020000
3357390.7888776707,-10928531.188938122,42013351030000
3342581.3320215116,-10970403.904080521,42013351040000
3337901.417588902,-10973752.950961037,42013351210000
3337901.417588902,-10973764.973466042,42013351220000
3348004.115740235,-10961492.556203537,42013351230000
3344681.5340108555,-10963526.697258802,42013351270000
3364750.1093092845,-10939876.314842317,42013351280000
3351141.1599257304,-10944558.1899861,42013351290000
3351150.6880385512,-10944565.871030966,42013351300000
3351160.216158232,-10944573.663395321,42013351310000
3364750.617998759,-10939873.309216065,42013351320000
3355911.7914387695,-10930654.385586021,42013351330000
3356994.2381375865,-10960246.891101561,42013351370000
3356993.856844522,-10960234.534638083,42013351380000
3337889.741445483,-10970847.734890314,42013351400000
3337890.1221891297,-10970941.688540542,42013351430000
3332496.2066154457,-10966291.762090616,42013351440000
3359706.5269753584,-10939704.548868023,42013351470000
3342505.410507772,-10972108.094165076,42013351480000
3339064.387526534,-10982977.885843584,42013351550000
3339072.5107785766,-10982968.86896483,42013351560000
3337932.3848016043,-10976020.751627475,42013351640000
3337933.7808661754,-10976024.202531692,42013351650000
3359695.975705596,-10939698.648935013,42013351660000
3345621.21579706,-10962340.142806437,42013351720000
3357304.6143395826,-10928646.515930584,42013351730000
3342885.4033090184,-10955191.984344129,42013351740000
3357294.0649878304,-10928640.615997571,42013351760000
3357283.388544029,-10928634.493425578,42013351770000
3356916.8358713505,-10958796.620775506,42013351800000
3353488.7131610485,-10958854.506910717,42013351810000
3353500.657182331,-10958854.506910717,42013351820000
3357869.716019218,-10956307.62828086,42013351830000
3357881.0284677986,-10956312.637657944,42013351840000
3351381.7786353515,-10946396.186098589,42013351850000
3351373.774880381,-10946405.202977344,42013351860000
3356916.8358713505,-10958808.754600001,42013351900000
3356538.7278677067,-10965399.98164987,42013351930000
3349814.659478804,-10938513.764275009,42013352000000
3339004.0979206134,-10976997.691478679,42013352010000
3349542.693761631,-10966009.789820438,42013352030000
3357293.556585551,-10928643.621623823,42013352210000
3345063.8748731297,-10966700.861219283,42013352250000
3344994.03430429,-10964950.362226557,42013352320000
3345031.3672171338,-10958846.49190738,42013352330000
